Everytime You Go Away,The Ultimate Pop Rock Fake Book,94,1

Game of Love,The Ultimate Pop Rock Fake Book,95,1

Flashdance What a Feeling,The Ultimate Pop Rock Fake Book,96,1

Free Bird,The Ultimate Pop Rock Fake Book,97,1

From a Jack to a King,The Ultimate Pop Rock Fake Book,98,1

Great Balls of Fire,The Ultimate Pop Rock Fake Book,98,1

Garden Party,The Ultimate Pop Rock Fake Book,99,1

Georgy Girl,The Ultimate Pop Rock Fake Book,100,1

Goodbye Yellow Brick Road,The Ultimate Pop Rock Fake Book,100,1

The Green Door,The Ultimate Pop Rock Fake Book,101,1

Gloria (by Laura Branigan),The Ultimate Pop Rock Fake Book,102,1

Gloria (by Shadows of the Night),The Ultimate Pop Rock Fake Book,103,1

Going out of my head,The Ultimate Pop Rock Fake Book,104,1

Good Loving,The Ultimate Pop Rock Fake Book,104,1

Green Green Grass of Home,The Ultimate Pop Rock Fake Book,105,1

Good Luck Charm,The Ultimate Pop Rock Fake Book,106,1

Grazing in the Grass,The Ultimate Pop Rock Fake Book,106,1

Harper Valley PTA,The Ultimate Pop Rock Fake Book,107,1

Grease,The Ultimate Pop Rock Fake Book,108,1

Groovin,The Ultimate Pop Rock Fake Book,108,1

Hard Days Night,The Ultimate Pop Rock Fake Book,109,1

Guitar Boogie Shuffle,The Ultimate Pop Rock Fake Book,110,1

Hang on Sloopy,The Ultimate Pop Rock Fake Book,110,1

Hanky Panky,The Ultimate Pop Rock Fake Book,111,1

Happy Together,The Ultimate Pop Rock Fake Book,112,1

Hard Headed Women,The Ultimate Pop Rock Fake Book,112,1

He's a Rebel,The Ultimate Pop Rock Fake Book,113,1

Happy Happy Birthday Baby,The Ultimate Pop Rock Fake Book,114,1

Heartaches by the Number,The Ultimate Pop Rock Fake Book,114,1

Hey Jude,The Ultimate Pop Rock Fake Book,115,1

Hello Mary Lou,The Ultimate Pop Rock Fake Book,116,1

Heartbreak Hotel,The Ultimate Pop Rock Fake Book,116,1

Hold Me Now,The Ultimate Pop Rock Fake Book,117,1

Hi-Hell Sneakers,The Ultimate Pop Rock Fake Book,118,1

Honky Cat (pop book),The Ultimate Pop Rock Fake Book,118,2

Here Comes Summer,The Ultimate Pop Rock Fake Book,120,1

His Latest Flame,The Ultimate Pop Rock Fake Book,120,1

How Can You Mend a Broken Heart,The Ultimate Pop Rock Fake Book,121,1

Hot Stuff,The Ultimate Pop Rock Fake Book,122,1

The Horse,The Ultimate Pop Rock Fake Book,123,1

Hound Dog,The Ultimate Pop Rock Fake Book,123,1

How Deep is Your Love,The Ultimate Pop Rock Fake Book,124,1

How Do You Do It?,The Ultimate Pop Rock Fake Book,124,1

Hushabye,The Ultimate Pop Rock Fake Book,125,1

A Hundreds Pounds of Clay,The Ultimate Pop Rock Fake Book,126,1

Hungry Like the Wolf,The Ultimate Pop Rock Fake Book,126,1

I Almost Lost My Mind,The Ultimate Pop Rock Fake Book,127,1

I Can See for Miles,The Ultimate Pop Rock Fake Book,128,1

I Just Want to be Your Everything,The Ultimate Pop Rock Fake Book,128,1

I A got a Women,The Ultimate Pop Rock Fake Book,129,1

I Can't Go For That (No Can Do),The Ultimate Pop Rock Fake Book,130,1

I Fought the Law,The Ultimate Pop Rock Fake Book,130,1

I Like it Like That,The Ultimate Pop Rock Fake Book,131,1

I Keep Forgetting,The Ultimate Pop Rock Fake Book,132,1

I Need Your Love Tonight,The Ultimate Pop Rock Fake Book,133,1

I Understand Just How You Feel,The Ultimate Pop Rock Fake Book,133,1

I Saw Her Standing There,The Ultimate Pop Rock Fake Book,134,1

I Want to Hold Your Hand,The Ultimate Pop Rock Fake Book,134,1

I'm a Man,The Ultimate Pop Rock Fake Book,135,1

I OnlyWant to Be With You,The Ultimate Pop Rock Fake Book,136,1

I Want You I Need You I Love You,The Ultimate Pop Rock Fake Book,136,1

I'm Gonna Sit Right Down and Write Myself a Letter,The Ultimate Pop Rock Fake Book,137,1

I'm Just a Singer in a Rock and Roll Band,The Ultimate Pop Rock Fake Book,138,1

I'm Sorry,The Ultimate Pop Rock Fake Book,139,1

I've Got to Get a Message To You,The Ultimate Pop Rock Fake Book,139,1

I'm Your Man,The Ultimate Pop Rock Fake Book,140,1

It's My Party,The Ultimate Pop Rock Fake Book,141,1

I've Told Every Little Star,The Ultimate Pop Rock Fake Book,142,1

It s in his Kiss (Shoop Shoop),The Ultimate Pop Rock Fake Book,142,1

